"INSTITUCIONET E ARSIMIT
 TE LARTE PUBLIK",FAKULTETI,ID E PROGRAMIT TË  STUDIMIT ,"EMERTIMI I PROGRAMIT
 TË  STUDIMIT ",INDEKSI I PROFILIT,LLOJI SHKOLLES,KOEFICIENTET
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,3,SEKSION DY GJUHËSH SHQIP-FRËNGJISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,4,SEKSION DY GJUHËSH SHQIP-ITALISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,5,SEKSION DY GJUHËSH SHQIP-GJERMANISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,6,GJIMNAZ GJUHËSOR,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,7,SHKOLLË ARTISTIKE/KOREOGRAFIKE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,8,SHKOLLË SPORTIVE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,9,SHKOLLË PEDAGOGJIKE,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,10,HOTELERI-TURIZËM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,11,SHËRBIME MJETESH TRANSPORTI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,12,MEKANIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,13,ELEKTROTEKNIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,14,ELEKTRONIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,15,PËRPUNIM DRURI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,16,NDËRTIM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,17,TEKSTIL-KONFEKSIONE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,18,TEKNOLOGJI USHQIMORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,19,BUJQËSI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,20,SHËRBIME SOCIALE DHE SHËNDETSORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,21,VETERINARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,22,GJEODEZI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,23,INSTALUES I SISTEMEVE TERMOHIDRAULIKE ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,24,LLOGARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,25,SHËRBIME BANKARE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,26,ADMINSITRIM BIZNESI ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,27,RRJETE TË DHËNASH,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,28,MBËSHTETJE E PËRDORUESVE TË TIK,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,29,ELEKTRONIK NË TEKNOLOGJINË E AUTOMATIZIMIT ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,30,SILVIKULTURË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,31,"HARRY FULTZ, BIZNES",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,32,"HARRY FULTZ, ELEKTRONIKË",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,33,"HARRY FULTZ, AUTOMEKANIK",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,34,PETER MAHRINGER TEKNOLOGJI INFORMACIONI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,002, Gjeografi ,35,PROFILI IM S'ËSHTË NË LISTË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,1,GJIMNAZ,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,2,GJIMNAZ ME KOHË TË SHKURTUAR,1.1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,3,SEKSION DY GJUHËSH SHQIP-FRËNGJISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,4,SEKSION DY GJUHËSH SHQIP-ITALISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,5,SEKSION DY GJUHËSH SHQIP-GJERMANISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,6,GJIMNAZ GJUHËSOR,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,7,SHKOLLË ARTISTIKE/KOREOGRAFIKE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,8,SHKOLLË SPORTIVE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,9,SHKOLLË PEDAGOGJIKE,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,10,HOTELERI-TURIZËM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,11,SHËRBIME MJETESH TRANSPORTI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,12,MEKANIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,13,ELEKTROTEKNIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,14,ELEKTRONIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,15,PËRPUNIM DRURI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,16,NDËRTIM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,17,TEKSTIL-KONFEKSIONE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,18,TEKNOLOGJI USHQIMORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,19,BUJQËSI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,20,SHËRBIME SOCIALE DHE SHËNDETSORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,21,VETERINARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,22,GJEODEZI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,23,INSTALUES I SISTEMEVE TERMOHIDRAULIKE ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,24,LLOGARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,25,SHËRBIME BANKARE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,26,ADMINSITRIM BIZNESI ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,27,RRJETE TË DHËNASH,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,28,MBËSHTETJE E PËRDORUESVE TË TIK,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,29,ELEKTRONIK NË TEKNOLOGJINË E AUTOMATIZIMIT ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,30,SILVIKULTURË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,31,"HARRY FULTZ, BIZNES",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,32,"HARRY FULTZ, ELEKTRONIKË",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,33,"HARRY FULTZ, AUTOMEKANIK",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,34,PETER MAHRINGER TEKNOLOGJI INFORMACIONI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,003, Gjuhë - Letërsi ,35,PROFILI IM S'ËSHTË NË LISTË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,1,GJIMNAZ,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,2,GJIMNAZ ME KOHË TË SHKURTUAR,1.1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,3,SEKSION DY GJUHËSH SHQIP-FRËNGJISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,4,SEKSION DY GJUHËSH SHQIP-ITALISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,5,SEKSION DY GJUHËSH SHQIP-GJERMANISHT,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,6,GJIMNAZ GJUHËSOR,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,7,SHKOLLË ARTISTIKE/KOREOGRAFIKE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,8,SHKOLLË SPORTIVE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,9,SHKOLLË PEDAGOGJIKE,1.4
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,10,HOTELERI-TURIZËM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,11,SHËRBIME MJETESH TRANSPORTI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,12,MEKANIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,13,ELEKTROTEKNIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,14,ELEKTRONIKË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,15,PËRPUNIM DRURI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,16,NDËRTIM,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,17,TEKSTIL-KONFEKSIONE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,18,TEKNOLOGJI USHQIMORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,19,BUJQËSI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,20,SHËRBIME SOCIALE DHE SHËNDETSORE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,21,VETERINARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,22,GJEODEZI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,23,INSTALUES I SISTEMEVE TERMOHIDRAULIKE ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,24,LLOGARI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,25,SHËRBIME BANKARE,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,26,ADMINSITRIM BIZNESI ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,27,RRJETE TË DHËNASH,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,28,MBËSHTETJE E PËRDORUESVE TË TIK,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,29,ELEKTRONIK NË TEKNOLOGJINË E AUTOMATIZIMIT ,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,30,SILVIKULTURË,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,31,"HARRY FULTZ, BIZNES",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,32,"HARRY FULTZ, ELEKTRONIKË",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,33,"HARRY FULTZ, AUTOMEKANIK",1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,34,PETER MAHRINGER TEKNOLOGJI INFORMACIONI,1
UNIVERSITETI I TIRANËS,FAKULTETI  HISTORI - FILOLOGJI,004, Gazetari ,35,PROFILI IM S'ËSHTË NË LISTË,1
